1268	tuukka_ervasti-scenery_near_gröttlingbo_-1268-7.jpg	1268	Nature|Horizontal|Outdoor|No people|Day|Autumn	1268	Gotland country side 
1272	tuukka_ervasti-limestone_monoliths-1272-7.jpg	1272	Nature|Big file format +40 Mb|Scenery|Outdoor|No people|Vertical|Day|Autumn	1272	A &#039;rauk&#039; is Swedish for a limestone monolith created by natural erosion during the last Ice Age. They can be found all around Gotland, on land, along the coastline and under the waters around the island. These ones are located on Fårö, an island just northeast of Gotland 
1676	melker_dahlstrand-horse-1676-7.jpg	1676	Nature|Society &amp; Lifestyle|Big file format +40 Mb|Outdoor|No people|Day|Summer	1676	A horse grazing in the Swedish countryside. Sweden has one of the highest numbers of horses per capita in Europe, and there is a deeply rooted tradition of high quality horse management and breeding. There are strict regulations regarding animal welfare. Horses are kept for leisure, sports, and working purposes. In Sweden several equestrian sports are highly popular. 
1692	ola_ericson-spring_picnic-1692-7.jpg	1692	Culture|Nature|Horizontal|Outdoor|People|Day|Summer	1692	Rosendal’s Garden is one of Stockholm’s most popular spots in the summer. It is an open garden, with the main purpose of presenting biodynamic (organic) garden cultivation to the general public. Notable features of the garden are the Orchard with some hundred apple trees, many planted in the 1860’s, there is also a Wine garden and a Rose garden. There is also a café and a plant and garden shop. Djurgården is a part of the Royal National Citypark also known as The Ecopark. It is the first national citypark in the world and it includes 27 km2 of nature and cultural values. 
1973	niclas_vestefjell-skiing_in_sweden_-1973-7.jpg	1973	Activities|Nature|Big file format +40 Mb|People|Outdoor|Vertical|Day|Winter	1973	Åre is the largest and most advanced and divers alpine sports resort in Sweden and Northern Europe. 
2003	niclas_vestefjell-skiing_in_sweden_-2003-7.jpg	2003	Activities|Nature|Horizontal|Outdoor|People|Day|Winter	2003	Åre is the largest and most advanced and divers alpine sports resort in Sweden and Northern Europe. 
2170	mikko_nikkinen-winter_landscape_-2170-7.jpg	2170	Nature|Horizontal|Outdoor|No people|Day|Winter	2170	Lofsdalen is a small mountain village in Härjedalen, it is also one of Swedens numerous ski resorts. The ski resorts of Sweden stretch from from the far north, down the backbone of the Swedish mountains in the north-west, then wind east into the county of Dalarna and with its northerly latitude, most ski resorts guarantee snow between Christmas and Easter. So you can ski in Sweden against a backdrop of the Midnight Sun, and the kaleidoscopic curtain of the Northern Lights. Where else in the world can you do that? 
227	fredrik_broman-in_the_wild-227-7.jpg	227	Nature|Horizontal|Outdoor|No people|Day|Summer	227	Reindeer resting in the shrubbery. 
2461	henrik_trygg-camp-2461-7.jpg	2461	Activities|Nature|Horizontal|Outdoor|People|Night|Summer	2461	Sweden is a country made for outdoor adventures, with an extensive and varied coastline, one of Europe’s last remaining wilderness and a large number of national parks, trails and hostels. Allemansrätten, or the Right of Public Access, is one of the unique joys of living in Sweden. It allows anyone to roam freely in the countryside, swim and travel by boat in someone else’s waters and pick mushrooms and berries in the forest. 
2476	henrik_trygg-kayaking-2476-7.jpg	2476	Nature|Horizontal|Outdoor|People|Summer|Day	2476	Dyngön is situated just 3 km outside Fjällbacka. There is a small fishing village on the island that is mainly inhabited during the summer. 
254	fredrik_broman-forest_glade-254-7.jpg	254	Nature|Horizontal|Outdoor|No people|Day|Summer	254	The deep forest of Värmland. 
3020	jörgen_wiklund-bergudden_lighthouse-3020-7.jpg	3020	Nature|Horizontal|Outdoor|No people|Day|Summer	3020	Bergudden Lighthouse on Holmön. 
3083	helena_wahlman-söderarm_lighthouse-3083-7.jpg	3083	Culture|Nature|Scenery|Outdoor|No people|	3083	There are about 100 lighthouses in Sweden. These used to be manned, partially because the staff were also rescue personnel. All lighthouses in Sweden are automatic and unstaffed. Lighthouses remain popular tourist attractions and some are certified as cultural heritage sites. 
