stime	etime	text
00:00:05.040	00:00:07.990 align:start position:0%	 
00:00:07.990	00:00:08.000 align:start position:0%	så välkommen till den här
00:00:08.000	00:00:10.709 align:start position:0%	så välkommen till den här
00:00:10.709	00:00:10.719 align:start position:0%	workshopen om hur man skapar ett enkelt
00:00:10.719	00:00:14.470 align:start position:0%	workshopen om hur man skapar ett enkelt
00:00:14.470	00:00:14.480 align:start position:0%	onlineundersökningsexperiment
00:00:14.480	00:00:16.950 align:start position:0%	onlineundersökningsexperiment
00:00:16.950	00:00:16.960 align:start position:0%	uh jag är neil swanberry och jag jobbar på
00:00:16.960	00:00:19.670 align:start position:0%	uh jag är neil swanberry och jag jobbar på
00:00:19.670	00:00:19.680 align:start position:0%	strategisk kommunikation i uh på Lunds
00:00:19.680	00:00:21.510 align:start position:0%	strategisk kommunikation i uh på Lunds
00:00:21.510	00:00:21.520 align:start position:0%	universitet
00:00:21.520	00:00:23.750 align:start position:0%	universitet
00:00:23.750	00:00:23.760 align:start position:0%	och jag har utvecklat innehållet i
00:00:23.760	00:00:26.710 align:start position:0%	och jag har utvecklat innehållet i
00:00:26.710	00:00:26.720 align:start position:0%	denna workshop tillsammans med min
00:00:26.720	00:00:28.470 align:start position:0%	denna workshop tillsammans med min
00:00:28.470	00:00:28.480 align:start position:0%	uh kollega
00:00:28.480	00:00:31.429 align:start position:0%	uh kollega
00:00:31.429	00:00:31.439 align:start position:0%	marlin sillinger
00:00:31.439	00:00:33.110 align:start position:0%	marlin sillinger
00:00:33.110	00:00:33.120 align:start position:0%	på institutionen för
00:00:33.120	00:00:37.590 align:start position:0%	på institutionen för
00:00:37.590	00:00:37.600 align:start position:0%	 
00:00:37.600	00:00:40.069 align:start position:0%	 
00:00:40.069	00:00:40.079 align:start position:0%	och bakgrunden till denna
00:00:40.079	00:00:41.990 align:start position:0%	och bakgrunden till denna
00:00:41.990	00:00:42.000 align:start position:0%	workshop är att vi tror att
00:00:42.000	00:00:45.350 align:start position:0%	workshop är att vi tror att
00:00:45.350	00:00:45.360 align:start position:0%	det behövs några enkla verktyg för att
00:00:45.360	00:00:47.350 align:start position:0%	det behövs några enkla verktyg för att
00:00:47.350	00:00:47.360 align:start position:0%	bygga ett experiment
00:00:47.360	00:00:49.190 align:start position:0%	bygga ett experiment
00:00:49.190	00:00:49.200 align:start position:0%	som också är
00:00:49.200	00:00:52.709 align:start position:0%	som också är
00:00:52.709	00:00:52.719 align:start position:0%	gratis så vi vet att det
00:00:52.719	00:00:56.470 align:start position:0%	gratis så vi vet att det
00:00:56.470	00:00:56.480 align:start position:0%	finns några verktyg som kostar dig
00:00:56.480	00:00:58.549 align:start position:0%	finns några verktyg som kostar dig
00:00:58.549	00:00:58.559 align:start position:0%	pengar men
00:00:58.559	00:00:59.990 align:start position:0%	pengar men
00:00:59.990	00:01:00.000 align:start position:0%	vi vill gärna
00:01:00.000	00:01:01.270 align:start position:0%	vi vill gärna
00:01:01.270	00:01:01.280 align:start position:0%	gör detta
00:01:01.280	00:01:09.990 align:start position:0%	gör detta
00:01:09.990	00:01:10.000 align:start position:0%	 
00:01:10.000	00:01:12.550 align:start position:0%	 
00:01:12.550	00:01:12.560 align:start position:0%	så vidare den här presentationen
00:01:12.560	00:01:15.109 align:start position:0%	så vidare den här presentationen
00:01:15.109	00:01:15.119 align:start position:0%	på denna workshop jag börjar med att
00:01:15.119	00:01:18.230 align:start position:0%	på denna workshop jag börjar med att
00:01:18.230	00:01:18.240 align:start position:0%	visa dig ett par bilder
00:01:18.240	00:01:20.870 align:start position:0%	visa dig ett par bilder
00:01:20.870	00:01:20.880 align:start position:0%	och sedan kommer vi att göra en praktisk session
00:01:20.880	00:01:23.030 align:start position:0%	och sedan kommer vi att göra en praktisk session
00:01:23.030	00:01:23.040 align:start position:0%	där vi försöker
00:01:23.040	00:01:26.469 align:start position:0%	där vi försöker
00:01:26.469	00:01:26.479 align:start position:0%	skapa ett onlineexperiment med hjälp av google-
00:01:26.479	00:01:29.990 align:start position:0%	skapa ett onlineexperiment med hjälp av google-
00:01:29.990	00:01:30.000 align:start position:0%	 
00:01:30.000	00:01:30.870 align:start position:0%	 
00:01:30.870	00:01:30.880 align:start position:0%	så
00:01:30.880	00:01:32.789 align:start position:0%	så
00:01:32.789	00:01:32.799 align:start position:0%	att hela  workshop består i princip av
00:01:32.799	00:01:34.310 align:start position:0%	att hela  workshop består i princip av
00:01:34.310	00:01:34.320 align:start position:0%	dessa två steg
00:01:34.320	00:01:35.350 align:start position:0%	dessa två steg
00:01:35.350	00:01:35.360 align:start position:0%	vi kommer att
00:01:35.360	00:01:37.590 align:start position:0%	vi kommer att
00:01:37.590	00:01:37.600 align:start position:0%	skapa enkätexperimentet
00:01:37.600	00:01:40.069 align:start position:0%	skapa enkätexperimentet
00:01:40.069	00:01:40.079 align:start position:0%	och sedan kommer vi också att
00:01:40.079	00:01:43.429 align:start position:0%	och sedan kommer vi också att
00:01:43.429	00:01:43.439 align:start position:0%	analysera en del experimentdata så
00:01:43.439	00:01:45.429 align:start position:0%	analysera en del experimentdata så
00:01:45.429	00:01:45.439 align:start position:0%	till exempel om du kör ett experiment  du
00:01:45.439	00:01:46.870 align:start position:0%	till exempel om du kör ett experiment  du
00:01:46.870	00:01:46.880 align:start position:0%	har ett
00:01:46.880	00:01:49.590 align:start position:0%	har ett
00:01:49.590	00:01:49.600 align:start position:0%	kontrolltillstånd
00:01:49.600	00:01:51.109 align:start position:0%	kontrolltillstånd
00:01:51.109	00:01:51.119 align:start position:0%	och du samlar in data om
00:01:51.119	00:01:52.950 align:start position:0%	och du samlar in data om
00:01:52.950	00:01:52.960 align:start position:0%	kontrolltillståndet och du har
00:01:52.960	00:01:54.550 align:start position:0%	kontrolltillståndet och du har
00:01:54.550	00:01:54.560 align:start position:0%	ett behandlingstillstånd
00:01:54.560	00:01:56.310 align:start position:0%	ett behandlingstillstånd
00:01:56.310	00:01:56.320 align:start position:0%	där du samlar in lite data och sedan
00:01:56.320	00:01:57.350 align:start position:0%	där du samlar in lite data och sedan
