stime	etime	text
00:00:13.019	00:00:15.410 align:start position:0%	 
00:00:15.410	00:00:15.420 align:start position:0%	träffa Sophia hon är en tidig
00:00:15.420	00:00:17.150 align:start position:0%	träffa Sophia hon är en tidig
00:00:17.150	00:00:17.160 align:start position:0%	karriärforskare som är väl insatt i sitt
00:00:17.160	00:00:17.990 align:start position:0%	karriärforskare som är väl insatt i sitt
00:00:17.990	00:00:18.000 align:start position:0%	område.
00:00:18.000	00:00:20.330 align:start position:0%	område.
00:00:20.330	00:00:20.340 align:start position:0%	Sophia anser att alla aspekter av
00:00:20.340	00:00:21.830 align:start position:0%	Sophia anser att alla aspekter av
00:00:21.830	00:00:21.840 align:start position:0%	vetenskaplig forskning bör vara
00:00:21.840	00:00:24.529 align:start position:0%	vetenskaplig forskning bör vara
00:00:24.529	00:00:24.539 align:start position:0%	transparenta och reproducerbara
00:00:24.539	00:00:26.810 align:start position:0%	transparenta och reproducerbara
00:00:26.810	00:00:26.820 align:start position:0%	att alla steg i forskningens livscykel
00:00:26.820	00:00:28.009 align:start position:0%	att alla steg i forskningens livscykel
00:00:28.009	00:00:28.019 align:start position:0%	är värdefulla
00:00:28.019	00:00:30.950 align:start position:0%	är värdefulla
00:00:30.950	00:00:30.960 align:start position:0%	att ett väl utformat hypotesprotokoll
00:00:30.960	00:00:33.770 align:start position:0%	att ett väl utformat hypotesprotokoll
00:00:33.770	00:00:33.780 align:start position:0%	eller datainsamling fortfarande är viktigt
00:00:33.780	00:00:35.569 align:start position:0%	eller datainsamling fortfarande är viktigt
00:00:35.569	00:00:35.579 align:start position:0%	även när  ett experiment gick inte som
00:00:35.579	00:00:36.830 align:start position:0%	även när  ett experiment gick inte som
00:00:36.830	00:00:36.840 align:start position:0%	planerat
00:00:36.840	00:00:39.110 align:start position:0%	planerat
00:00:39.110	00:00:39.120 align:start position:0%	när hon utforskade dessa ideal hon
00:00:39.120	00:00:41.810 align:start position:0%	när hon utforskade dessa ideal hon
00:00:41.810	00:00:41.820 align:start position:0%	stötte på termen öppen vetenskap men är inte
00:00:41.820	00:00:43.670 align:start position:0%	stötte på termen öppen vetenskap men är inte
00:00:43.670	00:00:43.680 align:start position:0%	säker på hur hon kan omsätta dessa begrepp i
00:00:43.680	00:00:45.049 align:start position:0%	säker på hur hon kan omsätta dessa begrepp i
00:00:45.049	00:00:45.059 align:start position:0%	praktiken
00:00:45.059	00:00:46.490 align:start position:0%	praktiken
00:00:46.490	00:00:46.500 align:start position:0%	genom samtal med sina
00:00:46.500	00:00:48.650 align:start position:0%	genom samtal med sina
00:00:48.650	00:00:48.660 align:start position:0%	kollegor. Hon lär sig om ett forskningsverktyg
00:00:48.660	00:00:50.750 align:start position:0%	kollegor. Hon lär sig om ett forskningsverktyg
00:00:50.750	00:00:50.760 align:start position:0%	som kallas open science
00:00:50.760	00:00:53.990 align:start position:0%	som kallas open science
00:00:53.990	00:00:54.000 align:start position:0%	framework eller OSF
00:00:54.000	00:00:56.510 align:start position:0%	framework eller OSF
00:00:56.510	00:00:56.520 align:start position:0%	visserligen var Sophia upprymd men lite
00:00:56.520	00:00:57.770 align:start position:0%	visserligen var Sophia upprymd men lite
00:00:57.770	00:00:57.780 align:start position:0%	nervös att
00:00:57.780	00:01:00.049 align:start position:0%	nervös att
00:01:00.049	00:01:00.059 align:start position:0%	följa öppna vetenskapliga riktlinjer känns
00:01:00.059	00:01:02.450 align:start position:0%	följa öppna vetenskapliga riktlinjer känns
00:01:02.450	00:01:02.460 align:start position:0%	som ett skrämmande företag och hon
00:01:02.460	00:01:05.329 align:start position:0%	som ett skrämmande företag och hon
00:01:05.329	00:01:05.339 align:start position:0%	har många frågor om var man ska
00:01:05.339	00:01:08.030 align:start position:0%	har många frågor om var man ska
00:01:08.030	00:01:08.040 align:start position:0%	börja OSF är en onlineplattform som
00:01:08.040	00:01:10.070 align:start position:0%	börja OSF är en onlineplattform som
00:01:10.070	00:01:10.080 align:start position:0%	gör det möjligt för forskare att på ett transparent sätt
00:01:10.080	00:01:13.670 align:start position:0%	gör det möjligt för forskare att på ett transparent sätt
00:01:13.670	00:01:13.680 align:start position:0%	planera insamla analyser och dela sitt
00:01:13.680	00:01:15.350 align:start position:0%	planera insamla analyser och dela sitt
00:01:15.350	00:01:15.360 align:start position:0%	arbete under hela forskningslivscykeln
00:01:15.360	00:01:16.609 align:start position:0%	arbete under hela forskningslivscykeln
00:01:16.609	00:01:16.619 align:start position:0%	 
00:01:16.619	00:01:19.310 align:start position:0%	 
00:01:19.310	00:01:19.320 align:start position:0%	varje  verktyget på OSF är speciellt
00:01:19.320	00:01:21.289 align:start position:0%	varje  verktyget på OSF är speciellt
00:01:21.289	00:01:21.299 align:start position:0%	utformat för att  främja forskningens integritet och
00:01:21.299	00:01:23.630 align:start position:0%	utformat för att  främja forskningens integritet och
00:01:23.630	00:01:23.640 align:start position:0%	samtidigt stödja en forskares
00:01:23.640	00:01:26.090 align:start position:0%	samtidigt stödja en forskares
00:01:26.090	00:01:26.100 align:start position:0%	individuella bekvämlighetsnivåer relaterade till
00:01:26.100	00:01:29.330 align:start position:0%	individuella bekvämlighetsnivåer relaterade till
00:01:29.330	00:01:29.340 align:start position:0%	delning och samarbete på
00:01:29.340	00:01:31.130 align:start position:0%	delning och samarbete på
00:01:31.130	00:01:31.140 align:start position:0%	grund av dess fokus på forskningsintegritet,
00:01:31.140	00:01:33.530 align:start position:0%	grund av dess fokus på forskningsintegritet,
00:01:33.530	00:01:33.540 align:start position:0%	OSF har fått uppmärksamhet
00:01:33.540	00:01:35.450 align:start position:0%	OSF har fått uppmärksamhet
00:01:35.450	00:01:35.460 align:start position:0%	från institutioner med Open Access-
00:01:35.460	00:01:38.749 align:start position:0%	från institutioner med Open Access-
00:01:38.749	00:01:38.759 align:start position:0%	policyer, publikationstidskrifter och till och med
00:01:38.759	00:01:41.390 align:start position:0%	policyer, publikationstidskrifter och till och med
00:01:41.390	00:01:41.400 align:start position:0%	finansiärer, både privata eller
00:01:41.400	00:01:42.649 align:start position:0%	finansiärer, både privata eller
00:01:42.649	00:01:42.659 align:start position:0%	statliga,
00:01:42.659	00:01:45.050 align:start position:0%	statliga,
00:01:45.050	00:01:45.060 align:start position:0%	låt oss följa Sophia som  hon utforskar och
00:01:45.060	00:01:46.850 align:start position:0%	låt oss följa Sophia som  hon utforskar och
00:01:46.850	00:01:46.860 align:start position:0%	lär sig hur några av hennes mycket vanliga
00:01:46.860	00:01:49.490 align:start position:0%	lär sig hur några av hennes mycket vanliga
00:01:49.490	00:01:49.500 align:start position:0%	problem inom forskning kan lösas av
00:01:49.500	00:01:53.030 align:start position:0%	problem inom forskning kan lösas av
00:01:53.030	00:01:53.040 align:start position:0%	de verktyg som finns tillgängliga för henne gratis
00:01:53.040	00:01:59.050 align:start position:0%	de verktyg som finns tillgängliga för henne gratis
00:01:59.050	00:02:02.330 align:start position:0%	 
00:02:02.330	00:02:04.609 align:start position:0%	 
00:02:04.609	00:02:06.469 align:start position:0%	 
00:02:06.469	00:02:06.479 align:start position:0%	 
00:02:06.479	00:02:07.550 align:start position:0%	 
00:02:07.550	00:02:07.560 align:start position:0%	 
00:02:07.560	00:02:09.770 align:start position:0%	 
00:02:09.770	00:02:09.780 align:start position:0%	idé tar form hon
00:02:09.780	00:02:12.050 align:start position:0%	idé tar form hon
00:02:12.050	00:02:12.060 align:start position:0%	utvärderar forskningslandskapet för att se
00:02:12.060	00:02:14.869 align:start position:0%	utvärderar forskningslandskapet för att se
00:02:14.869	00:02:14.879 align:start position:0%	vad som undersöks nyligen
00:02:14.879	00:02:16.550 align:start position:0%	vad som undersöks nyligen
00:02:16.550	00:02:16.560 align:start position:0%	traditionellt har hon alltid använt
00:02:16.560	00:02:19.369 align:start position:0%	traditionellt har hon alltid använt
00:02:19.369	00:02:19.379 align:start position:0%	referensplattformar eller specifika tidskrifter
00:02:19.379	00:02:21.170 align:start position:0%	referensplattformar eller specifika tidskrifter
00:02:21.170	00:02:21.180 align:start position:0%	men många publikationer kan ha
00:02:21.180	00:02:23.210 align:start position:0%	men många publikationer kan ha
00:02:23.210	00:02:23.220 align:start position:0%	inaktuella resultat och ger ofta bara
00:02:23.220	00:02:25.250 align:start position:0%	inaktuella resultat och ger ofta bara
00:02:25.250	00:02:25.260 align:start position:0%	information om framgångsrika
00:02:25.260	00:02:27.229 align:start position:0%	information om framgångsrika
00:02:27.229	00:02:27.239 align:start position:0%	studier.
00:02:27.239	00:02:29.390 align:start position:0%	studier.
00:02:29.390	00:02:29.400 align:start position:0%	Tänk om en annan forskare hade försökt  hennes
00:02:29.400	00:02:31.070 align:start position:0%	Tänk om en annan forskare hade försökt  hennes
00:02:31.070	00:02:31.080 align:start position:0%	nya idé men det gjorde den inte  producera det
00:02:31.080	00:02:32.630 align:start position:0%	nya idé men det gjorde den inte  producera det
00:02:32.630	00:02:32.640 align:start position:0%	förväntade resultatet
00:02:32.640	00:02:34.490 align:start position:0%	förväntade resultatet
00:02:34.490	00:02:34.500 align:start position:0%	hur kan det vetenskapliga samfundet lära
00:02:34.500	00:02:36.350 align:start position:0%	hur kan det vetenskapliga samfundet lära
00:02:36.350	00:02:36.360 align:start position:0%	sig av sina misstag om de bara delar
00:02:36.360	00:02:40.309 align:start position:0%	sig av sina misstag om de bara delar
00:02:40.309	00:02:40.319 align:start position:0%	 
00:02:40.319	00:02:42.050 align:start position:0%	 
00:02:42.050	00:02:42.060 align:start position:0%	Sophia hörde talas om det öppna vetenskapliga
00:02:42.060	00:02:45.589 align:start position:0%	Sophia hörde talas om det öppna vetenskapliga
00:02:45.589	00:02:45.599 align:start position:0%	ramverket igen eller OSF nyligen vid en
00:02:45.599	00:02:47.690 align:start position:0%	ramverket igen eller OSF nyligen vid en
00:02:47.690	00:02:47.700 align:start position:0%	presentation som arrangerades av hennes University's
00:02:47.700	00:02:50.449 align:start position:0%	presentation som arrangerades av hennes University's
00:02:50.449	00:02:50.459 align:start position:0%	Library Research Services
00:02:50.459	00:02:53.390 align:start position:0%	Library Research Services
00:02:53.390	00:02:53.400 align:start position:0%	nyfikenhet toppade Sophia bestämmer sig för att ta
00:02:53.400	00:02:55.130 align:start position:0%	nyfikenhet toppade Sophia bestämmer sig för att ta
00:02:55.130	00:02:55.140 align:start position:0%	en titt igenom  OSF för att se vad
00:02:55.140	00:02:57.290 align:start position:0%	en titt igenom  OSF för att se vad
00:02:57.290	00:02:57.300 align:start position:0%	andra inom hennes område arbetar med
00:02:57.300	00:03:00.650 align:start position:0%	andra inom hennes område arbetar med
00:03:00.650	00:03:00.660 align:start position:0%	hennes mål för att verifiera att en idé hon har
00:03:00.660	00:03:02.270 align:start position:0%	hennes mål för att verifiera att en idé hon har
00:03:02.270	00:03:02.280 align:start position:0%	för nya studier inte görs
00:03:02.280	00:03:04.910 align:start position:0%	för nya studier inte görs
00:03:04.910	00:03:04.920 align:start position:0%	någon annanstans eller om det är för att lära av
00:03:04.920	00:03:07.369 align:start position:0%	någon annanstans eller om det är för att lära av
00:03:07.369	00:03:07.379 align:start position:0%	 
00:03:07.379	00:03:09.890 align:start position:0%	 
00:03:09.890	00:03:09.900 align:start position:0%	genom hennes sökning på OSF Sophia är
00:03:09.900	00:03:11.089 align:start position:0%	genom hennes sökning på OSF Sophia är
00:03:11.089	00:03:11.099 align:start position:0%	förvånad över att inte bara  hitta
00:03:11.099	00:03:13.729 align:start position:0%	förvånad över att inte bara  hitta
00:03:13.729	00:03:13.739 align:start position:0%	förpubliceringsmanuskript men också
00:03:13.739	00:03:15.470 align:start position:0%	förpubliceringsmanuskript men också
00:03:15.470	00:03:15.480 align:start position:0%	otaliga banbrytande forskningsprotokoll
00:03:15.480	00:03:18.710 align:start position:0%	otaliga banbrytande forskningsprotokoll
00:03:18.710	00:03:18.720 align:start position:0%	insamlade data och analyser
00:03:18.720	00:03:21.470 align:start position:0%	insamlade data och analyser
00:03:21.470	00:03:21.480 align:start position:0%	relaterade till hennes forskningsintresse
00:03:21.480	00:03:23.149 align:start position:0%	relaterade till hennes forskningsintresse
00:03:23.149	00:03:23.159 align:start position:0%	eftersom dessa andra forskare har
00:03:23.159	00:03:25.550 align:start position:0%	eftersom dessa andra forskare har
00:03:25.550	00:03:25.560 align:start position:0%	delat med sig av sitt arbete med OSF som hon nu
00:03:25.560	00:03:27.410 align:start position:0%	delat med sig av sitt arbete med OSF som hon nu
00:03:27.410	00:03:27.420 align:start position:0%	kan bygga på sina studieidéer
00:03:27.420	00:03:31.250 align:start position:0%	kan bygga på sina studieidéer
00:03:31.250	00:03:31.260 align:start position:0%	från alla stadier av forskningen
00:03:31.260	00:03:33.890 align:start position:0%	från alla stadier av forskningen
00:03:33.890	00:03:33.900 align:start position:0%	Sophia  är säker på att hennes
00:03:33.900	00:03:36.770 align:start position:0%	Sophia  är säker på att hennes
00:03:36.770	00:03:36.780 align:start position:0%	forskningsidé är unik och oprövad
00:03:36.780	00:03:39.530 align:start position:0%	forskningsidé är unik och oprövad
00:03:39.530	00:03:39.540 align:start position:0%	allt material som delas på OSF
00:03:39.540	00:03:40.910 align:start position:0%	allt material som delas på OSF
00:03:40.910	00:03:40.920 align:start position:0%	öppnade dörren för n  nya potentiella
00:03:40.920	00:03:51.949 align:start position:0%	öppnade dörren för n  nya potentiella
00:03:51.949	00:03:51.959 align:start position:0%	 
00:03:51.959	00:03:54.050 align:start position:0%	 
00:03:54.050	00:03:54.060 align:start position:0%	nu när Sophia har en bra idé för ett
00:03:54.060	00:03:56.270 align:start position:0%	nu när Sophia har en bra idé för ett
00:03:56.270	00:03:56.280 align:start position:0%	forskningsprojekt hon vill börja
00:03:56.280	00:03:58.130 align:start position:0%	forskningsprojekt hon vill börja
00:03:58.130	00:03:58.140 align:start position:0%	designa en studie och börja samla in
00:03:58.140	00:03:59.869 align:start position:0%	designa en studie och börja samla in
00:03:59.869	00:03:59.879 align:start position:0%	material hon kan behöva
00:03:59.879	00:04:01.970 align:start position:0%	material hon kan behöva
00:04:01.970	00:04:01.980 align:start position:0%	medan hon letade efter en idé som hon
00:04:01.980	00:04:04.369 align:start position:0%	medan hon letade efter en idé som hon
00:04:04.369	00:04:04.379 align:start position:0%	kunde se hur värdefullt det är att
00:04:04.379	00:04:06.229 align:start position:0%	kunde se hur värdefullt det är att
00:04:06.229	00:04:06.239 align:start position:0%	dela  din forskningsplan för inte
00:04:06.239	00:04:08.270 align:start position:0%	dela  din forskningsplan för inte
00:04:08.270	00:04:08.280 align:start position:0%	bara forskarens trovärdighet
00:04:08.280	00:04:10.670 align:start position:0%	bara forskarens trovärdighet
00:04:10.670	00:04:10.680 align:start position:0%	utan för det vetenskapliga samhället,
00:04:10.680	00:04:12.770 align:start position:0%	utan för det vetenskapliga samhället,
